combination,sum_rewards,fuel_used,time_used
[0 0 0],0.0,1.4150602552372484,29
[0 0 1],1.0,1.915434300653302,58
[0 0 2],0.0,1.320434470672313,29
[0 0 3],0.0,0.0,0
[0 0 4],0.0,1.320434470672313,29
[0 0 5],1.0,1.9590765925705038,58
[0 1 0],0.0,1.1063677509923684,29
[0 1 1],0.0,0.0,0
[0 1 2],1.0,1.598556858893605,58
[0 1 3],0.0,1.2616109307083945,29
[0 1 4],1.0,1.1284087688204534,58
[0 1 5],0.0,1.2616109307083945,29
[0 2 0],0.0,1.1507519333516447,29
[0 2 1],1.0,1.6778682474479536,58
[0 2 2],1.0,0.5715004964510866,29
[0 2 3],0.0,0.0,0
[0 2 4],0.0,0.0,0
[0 2 5],1.0,0.7661850440585894,29
[0 3 0],0.0,1.3703150739609853,29
[0 3 1],1.0,0.6790471736473169,29
[0 3 2],1.0,1.499970004854865,58
[0 3 3],1.0,0.276323368062795,29
[0 3 4],1.0,0.8742681543717447,29
[0 3 5],1.0,0.276323368062795,29
[0 4 0],1.0,1.2306870802583951,58
[0 4 1],1.0,1.414727541534774,58
[0 4 2],1.0,1.2521043397297262,58
[0 4 3],1.0,1.4184280013255974,58
[0 4 4],1.0,0.6524529241291924,29
[0 4 5],1.0,1.647919173653888,58
[0 5 0],0.0,1.2725493592658663,29
[0 5 1],1.0,0.4485820377872942,29
[0 5 2],0.0,1.2725493592658663,29
[0 5 3],2.0,0.7249054058501221,58
[0 5 4],1.0,0.7824818533315565,29
[0 5 5],0.0,0.0,0
[1 0 0],1.0,0.6538233699451605,29
[1 0 1],0.0,1.320434470672313,29
[1 0 2],1.0,0.6538233699451605,29
[1 0 3],1.0,2.05684230726563,58
[1 0 4],0.0,1.4052651014811515,29
[1 0 5],1.0,1.9590765925705038,58
[1 1 0],0.0,0.0,0
[1 1 1],1.0,0.6390983059313228,29
[1 1 2],1.0,1.598556858893605,58
[1 1 3],1.0,0.6711861058996718,29
[1 1 4],0.0,1.1063677509923684,29
[1 1 5],1.0,1.1197681436869125,58
[1 2 0],0.0,0.0,0
[1 2 1],1.0,1.9272905822039779,58
[1 2 2],1.0,0.5715004964510866,29
[1 2 3],0.0,0.0,0
[1 2 4],1.0,1.1720067006716146,58
