combination,sum_rewards,fuel_used,time_used
"[9, 8, 7, 6, 5]",4.0,3.3393562334732745,99.14844966826935
"[6, 9, 5, 1, 7]",4.0,3.8800084767488094,99.07420561194327
"[6, 9, 5, 1, 3]",4.0,3.770282629509337,99.08303857325372
"[6, 9, 5, 1, 0]",4.0,3.165870744174559,99.06822254403117
"[3, 2, 6, 0, 9]",4.0,3.534433213509418,99.35740222827454
"[3, 2, 6, 1, 0]",4.0,3.4754260491296516,99.15161908746026
"[3, 2, 6, 1, 5]",4.0,3.5434163176674094,99.1826955905975
"[3, 2, 6, 1, 9]",4.0,3.5897168545171514,99.192314028595
"[6, 9, 5, 0, 1]",4.0,3.432977857796869,99.09601806690286
"[3, 2, 6, 4, 8]",4.0,3.4198867129208157,99.14286954931727
"[3, 2, 6, 5, 0]",4.0,3.368387025551632,99.1732502365044
"[3, 2, 6, 5, 1]",4.0,3.0986761711202977,99.18269260942915
"[3, 2, 6, 5, 7]",4.0,3.2975864414002847,99.1788102666902
"[3, 2, 6, 5, 8]",4.0,3.835425636195506,99.37647287453291
"[3, 2, 6, 5, 9]",4.0,3.5383994128533747,99.1772411719771
"[3, 2, 6, 7, 0]",4.0,3.4469551418501703,99.27644167018838
"[3, 2, 6, 7, 1]",4.0,3.2254100393714857,99.2659907336529
"[3, 2, 6, 7, 4]",4.0,3.114876721541619,99.2544546314263
"[3, 2, 6, 7, 5]",4.0,2.7835820307156496,99.26413253308574
"[3, 2, 6, 7, 8]",4.0,2.783931117743358,99.27538262679482
"[3, 2, 6, 7, 9]",4.0,3.6614433946923044,99.25626042230962
"[3, 2, 6, 8, 4]",4.0,3.0869555417797336,99.18671156127202
"[3, 2, 6, 8, 5]",4.0,3.935863018917556,99.37646657237534
"[3, 2, 6, 8, 7]",4.0,3.398022847507133,99.1986038457776
"[3, 2, 6, 9, 0]",4.0,3.7503305432434524,99.13903419000387
"[3, 2, 6, 0, 1]",4.0,3.6949325195254765,99.34620769719012
"[3, 2, 5, 9, 1]",4.0,3.992244176390359,99.19231482544593
"[3, 2, 4, 7, 9]",4.0,3.7254616931266544,99.12615189745243
"[3, 2, 5, 9, 0]",4.0,3.7168221983601972,99.21182449323904
"[3, 2, 4, 8, 1]",4.0,3.166484032296973,99.15847898257199
"[3, 2, 4, 8, 5]",4.0,2.7424852707251812,99.37646657237543
"[3, 2, 4, 8, 6]",4.0,2.2390880547505323,99.18001454216416
